Code,Long Name,Income Group,Region
IND,Republic of India,Lower middle income,South Asia
IDN,Republic of Indonesia,Upper middle income,East Asia & Pacific
IRN,Islamic Republic of Iran,Upper middle income,Middle East & North Africa
IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa
JAM,Jamaica,Upper middle income,Latin America & Caribbean
JOR,Hashemite Kingdom of Jordan,Lower middle income,Middle East & North Africa
KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia
KEN,Republic of Kenya,Lower middle income,Sub-Saharan Africa
XKX,Republic of Kosovo,Upper middle income,Europe & Central Asia
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific
LBN,Lebanese Republic,Lower middle income,Middle East & North Africa
LSO,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa
LBR,Republic of Liberia,Low income,Sub-Saharan Africa
MDG,Republic of Madagascar,Low income,Sub-Saharan Africa
MWI,Republic of Malawi,Low income,Sub-Saharan Africa
MDV,Republic of Maldives,Upper middle income,South Asia
MLI,Republic of Mali,Low income,Sub-Saharan Africa
MRT,Islamic Republic of Mauritania,Lower middle income,Sub-Saharan Africa
MUS,Republic of Mauritius,Upper middle income,Sub-Saharan Africa
MEX,United Mexican States,Upper middle income,Latin America & Caribbean
MDA,Republic of Moldova,Upper middle income,Europe & Central Asia
MNG,Mongolia,Upper middle income,East Asia & Pacific
MNE,Montenegro,Upper middle income,Europe & Central Asia
MAR,Kingdom of Morocco,Lower middle income,Middle East & North Africa
MOZ,Republic of Mozambique,Low income,Sub-Saharan Africa
MMR,Republic of the Union of Myanmar,Lower middle income,East Asia & Pacific
NPL,Nepal,Lower middle income,South Asia
NIC,Republic of Nicaragua,Lower middle income,Latin America & Caribbean
NER,Republic of Niger,Low income,Sub-Saharan Africa
NGA,Federal Republic of Nigeria,Lower middle income,Sub-Saharan Africa
MKD,Republic of North Macedonia,Upper middle income,Europe & Central Asia
PAK,Islamic Republic of Pakistan,Lower middle income,Middle East & North Africa
PNG,The Independent State of Papua New Guinea,Lower middle income,East Asia & Pacific
PRY,Republic of Paraguay,Upper middle income,Latin America & Caribbean
PER,Republic of Peru,Upper middle income,Latin America & Caribbean
PHL,Republic of the Philippines,Lower middle income,East Asia & Pacific
RWA,Republic of Rwanda,Low income,Sub-Saharan Africa
WSM,Independent State of Samoa,Upper middle income,East Asia & Pacific
STP,Democratic Republic of São Tomé and Principe,Lower middle income,Sub-Saharan Africa
SEN,Republic of Senegal,Lower middle income,Sub-Saharan Africa
SRB,Republic of Serbia,Upper middle income,Europe & Central Asia
SLE,Republic of Sierra Leone,Low income,Sub-Saharan Africa
SLB,Solomon Islands,Lower middle income,East Asia & Pacific
SOM,Federal Republic of Somalia,Low income,Sub-Saharan Africa
ZAF,Republic of South Africa,Upper middle income,Sub-Saharan Africa
LKA,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia
LCA,St. Lucia,Upper middle income,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean
SDN,Republic of the Sudan,Low income,Sub-Saharan Africa
SUR,Republic of Suriname,Upper middle income,Latin America & Caribbean
SYR,Syrian Arab Republic,Low income,Middle East & North Africa
TJK,Republic of Tajikistan,Lower middle income,Europe & Central Asia
TZA,United Republic of Tanzania,Lower middle income,Sub-Saharan Africa
THA,Kingdom of Thailand,Upper middle income,East Asia & Pacific
TLS,Democratic Republic of Timor-Leste,Lower middle income,East Asia & Pacific
TGO,Republic of Togo,Low income,Sub-Saharan Africa
TON,Kingdom of Tonga,Upper middle income,East Asia & Pacific
TUN,Republic of Tunisia,Lower middle income,Middle East & North Africa
TUR,Republic of Türkiye,Upper middle income,Europe & Central Asia
TKM,Turkmenistan,Upper middle income,Europe & Central Asia
UGA,Republic of Uganda,Low income,Sub-Saharan Africa
UKR,Ukraine,Upper middle income,Europe & Central Asia
UZB,Republic of Uzbekistan,Lower middle income,Europe & Central Asia
VUT,Republic of Vanuatu,Lower middle income,East Asia & Pacific
VNM,Socialist Republic of Viet Nam,Lower middle income,East Asia & Pacific
YEM,Republic of Yemen,Low income,Middle East & North Africa
ZMB,Republic of Zambia,Lower middle income,Sub-Saharan Africa
ZWE,Republic of Zimbabwe,Lower middle income,Sub-Saharan Africa
